Title,Genres,Difficulty,AI Reasoning
"Comet","Comedy, Drama, Romance, Sci-Fi","Impossible Mode","A low-budget indie sci-fi romance that remains largely unknown to the general public."
"Tallulah","Drama, Comedy","Hard Mode","A Netflix original that gained moderate recognition but is not a mainstream hit."
"Two Days in Paris","Romance, Comedy, Drama","Hard Mode","An indie romantic comedy well-regarded by fans of independent film but niche globally."
"The Giant Mechanical Man","Romance, Comedy, Drama","Impossible Mode","An obscure independent romantic comedy that received limited distribution."
"Borgman","Psychological Thriller, Mystery, Drama","Impossible Mode","A Dutch psychological thriller that remains largely unknown outside of festival circuits and niche cinephile circles."
"Obvious Child","Comedy, Drama, Romance","Hard Mode","An indie romantic comedy that gained modest critical acclaim but lacks widespread mainstream recognition."
"Morvern Callar","Drama, Art House","Impossible Mode","An experimental Scottish drama that is highly regarded by critics but maintains an obscure status among general audiences."
"Me and Orson Welles","Drama, Comedy","Hard Mode","A period drama with notable stars but limited distribution and low cultural penetration."
"The Air I Breathe","Crime, Drama, Thriller","Hard Mode","An ensemble crime drama with a recognizable cast that failed to achieve significant box office or critical momentum."
"Asterix: The Secret of the Magic Potion","Animation, Adventure, Comedy, Family, Fantasy","Hard Mode","While Asterix is a famous brand in Europe, this specific animated feature is less widely known in global English-speaking markets."
"Beyond the Sea","Biography, Drama, Music","Hard Mode","A high-profile biographical film that received significant media attention upon release but has faded from common memory."
"Girlfight","Drama, Sport","Hard Mode","A breakthrough indie film that launched Michelle Rodriguez's career, recognized by film buffs but not the general public."
"Gangster No. 1","Crime, Drama, Thriller","Impossible Mode","A gritty British crime film that is considered a cult classic but remains largely invisible to mainstream global audiences."
"Shadows and Fog","Comedy, Crime, Mystery","Hard Mode","One of Woody Allen's lesser-known projects, often overlooked in the vast catalog of his work."
"He Was a Quiet Man","Comedy, Drama, Thriller","Impossible Mode","An independent dark comedy that lacks mainstream visibility."
"Snow Falling on Cedars","Drama, Mystery, Romance","Easy Mode","A major Hollywood adaptation with a prominent cast."
"Happythankyoumoreplease","Comedy, Drama, Romance","Hard Mode","A well-known indie title in film festival circles but not widely known by the general public."
"Saints and Soldiers","War, Drama, Action","Hard Mode","Gained a cult following in the faith-based and war movie genres."
"Cypher","Sci-Fi, Thriller, Mystery","Impossible Mode","A highly obscure sci-fi thriller known mostly to genre enthusiasts."
"Babysitting","Comedy, Found Footage","Hard Mode","A major French comedy hit, but its recognition remains largely localized to Francophone regions."
"Flash Point","Action, Crime, Thriller","Hard Mode","Very famous among action and martial arts fans, but niche to the general moviegoing public."
"Heartbreaker","Comedy, Romance","Easy Mode","A popular French romantic comedy with international commercial appeal."
"Reign of the Supermen","Animation, Action, Science Fiction","Easy Mode","Part of a high-profile animated universe connected to the DC Comics brand."
"The Teacher","Drama, Comedy","Impossible Mode","Too generic a title, making it difficult to identify or recognize among a vast library of films."
"Samba","Drama, Comedy, Romance","Hard Mode","While popular in France, it remains relatively unknown globally compared to major Hollywood releases."
"Bon Cop Bad Cop","Action, Comedy, Crime","Hard Mode","Highly successful in Canada, but has limited reach and recognition in the international film market."
"Martian Child","Drama, Comedy, Family","Hard Mode","A middle-budget Hollywood production that did not achieve widespread cultural impact or box office success."
"Redbelt","Drama, Martial Arts, Thriller","Hard Mode","A niche David Mamet film that did not gain broad mainstream awareness."
"Mujhse Shaadi Karogi","Comedy, Romance, Musical","Easy Mode","A massive commercial hit in India with significant recognition within the global Indian diaspora."
"The Escapist","Crime, Drama, Thriller","Impossible Mode","A low-profile indie thriller that remains largely invisible to general audiences."
"The Hoax","Drama, Comedy, Crime","Hard Mode","A critical interest film featuring a known star, yet it failed to penetrate mainstream public consciousness."
"Tristram Shandy: A Cock and Bull Story","Comedy, Drama","Impossible Mode","An experimental British film aimed at a very specific literary and arthouse audience."
"Yes Boss","Romantic Comedy, Musical, Drama","Easy Mode","A classic Bollywood romantic comedy with enduring popularity and cultural recognition."
"Copying Beethoven","Drama, History, Music","Hard Mode","A biographical drama that received modest distribution and remains known primarily to historical drama enthusiasts."
"Resurrecting the Champ","Drama, Sport","Easy Mode","Features mainstream stars like Samuel L. Jackson and Josh Hartnett, receiving wide theatrical distribution."
"Restless","Drama, Romance","Easy Mode","Directed by Gus Van Sant, this film received significant media attention upon its release."
"Fourth Man Out","Comedy, Drama","Hard Mode","An independent comedy that gained a modest cult following but lacks broad mainstream recognition."
"Aqua Teen Hunger Force Colon Movie Film for Theaters","Animation, Comedy, Sci-Fi","Easy Mode","Based on a long-running, highly recognizable Adult Swim television franchise."
"Kedarnath","Romance, Drama, Disaster","Easy Mode","A major Bollywood release featuring high-profile stars like Sushant Singh Rajput and Sara Ali Khan."
"The Fury of a Patient Man","Thriller, Crime, Drama","Impossible Mode","A Spanish-language thriller that, while critically acclaimed, is largely unknown to general global audiences."
"Sanak","Action, Thriller","Hard Mode","A direct-to-streaming Indian action film that is niche outside of the domestic market."
"Catch a Fire","Action, Biography, Drama, Thriller","Hard Mode","A biographical drama featuring Tim Robbins that is known to cinephiles but generally overlooked by the masses."
"Delibal","Romance, Drama","Hard Mode","A popular Turkish romantic drama that remains niche in the global Western market."
"Sleepwalk with Me","Comedy, Drama","Hard Mode","An independent comedy written and directed by Mike Birbiglia with a strong but limited cult appeal."
"Der Schuh des Manitu","Western, Comedy, Parody","Hard Mode","Extremely popular in Germany but holds limited international recognition."
"Cinayet Süsü","Comedy, Crime, Mystery","Hard Mode","A well-known Turkish comedy that lacks widespread global reach."
"Hunting and Gathering","Drama, Romance","Hard Mode","A successful French film known primarily to European cinema audiences."
"Waqt: The Race Against Time","Drama, Musical, Family","Easy Mode","A mainstream Bollywood production with a large global diaspora audience."
"Chhatriwali","Comedy, Drama","Impossible Mode","A niche streaming release with very limited mainstream recognition."
"We Have a Pope","Comedy, Drama","Hard Mode","An acclaimed Italian film, but generally recognized by arthouse audiences."
"Garam Masala","Comedy, Romance","Easy Mode","A highly popular and iconic Bollywood comedy film."
"Chhalaang","Comedy, Drama, Sports","Hard Mode","A mid-tier Bollywood release that did not achieve massive international impact."
"X","Horror, Slasher","Easy Mode","A widely released contemporary horror film from A24."
"Asteroid City","Comedy, Drama, Romance, Sci-Fi","Easy Mode","A high-profile film directed by Wes Anderson with a global theatrical release."
"Evil Dead Rise","Horror, Supernatural","Easy Mode","Recent mainstream horror success from a major franchise."
"The Expendables 2","Action, Adventure, Thriller","Easy Mode","High-profile action movie featuring a star-studded cast."
"My Big Fat Greek Wedding","Romance, Comedy","Easy Mode","Extremely successful and culturally iconic romantic comedy."
"Saw II","Horror, Mystery, Thriller","Easy Mode","Part of a globally recognized and highly profitable horror franchise."
"To Catch a Killer","Crime, Drama, Mystery, Thriller","Impossible Mode","An obscure, limited-release crime thriller often confused with better-known titles."
"They Cloned Tyrone","Sci-Fi, Mystery, Comedy","Hard Mode","A well-regarded Netflix original, but remains more niche than traditional blockbuster cinema."
"The Faculty","Sci-Fi, Horror, Mystery","Hard Mode","A cult classic from the 90s with a dedicated but specific fanbase."
"EuroTrip","Comedy, Adventure","Easy Mode","Widely known cult comedy from the 2000s with enduring popularity."
"The Pale Blue Eye","Mystery, Thriller, History, Horror","Hard Mode","A mid-tier Netflix release that didn't reach mainstream blockbuster status."
"Star Wars: Episode II - Attack of the Clones","Action, Adventure, Fantasy, Sci-Fi","Easy Mode","Part of the globally dominant Star Wars film franchise."
"Red Sparrow","Action, Drama, Thriller","Easy Mode","High-profile spy thriller starring Jennifer Lawrence."
"Event Horizon","Science Fiction, Horror","Hard Mode","A cult classic sci-fi horror film known to genre fans but not mainstream audiences."
"Wild Things","Neo-noir, Crime, Thriller, Mystery","Hard Mode","Well-known in the 90s for its plot twists, but has faded from mainstream pop culture conversation."
"This Is Where I Leave You","Comedy, Drama","Hard Mode","A moderate ensemble dramedy that reached a wide audience upon release but lacks long-term cultural ubiquity."
"Footloose","Drama, Music, Romance","Easy Mode","An iconic 80s dance movie with global cultural reach."
"Talladega Nights: The Ballad of Ricky Bobby","Comedy, Sport, Action","Easy Mode","A highly quotable and popular Will Ferrell comedy."
"Child's Play","Horror, Slasher, Thriller","Easy Mode","The Chucky franchise is globally recognized in the horror genre."
"U-571","Action, War, Thriller","Hard Mode","A mid-budget historical action film that is remembered by war movie fans but is not a household name."
"Death Becomes Her","Comedy, Fantasy, Horror","Hard Mode","A dark comedy classic with a dedicated following, though not a general blockbuster hit."
"The Replacements","Comedy, Sport","Hard Mode","A known sports comedy, but generally considered a niche viewing experience outside of specific demographics."
"Divergent","Action, Adventure, Sci-Fi","Easy Mode","A widely recognized young adult blockbuster film."
"Speak No Evil","Psychological Thriller, Horror, Drama","Hard Mode","A critically acclaimed thriller that maintains a more niche audience outside of horror enthusiasts."
"Pirates of the Caribbean: On Stranger Tides","Action, Adventure, Fantasy","Easy Mode","Part of a massive, globally recognized blockbuster franchise."
"Jason Bourne","Action, Thriller","Easy Mode","The latest entry in a highly popular and well-known action spy franchise."
"Lady Chatterley's Lover","Drama, Romance","Hard Mode","Based on a classic novel, but the specific recent adaptation is less mainstream than blockbusters."
"Anna","Action, Thriller","Hard Mode","An action thriller that did not achieve widespread global fame."
"The Other Guys","Action, Comedy, Crime","Easy Mode","A very popular and frequently referenced comedy film."
"The Wonder","Drama, Mystery, Period Piece","Impossible Mode","A quieter period drama that remained relatively obscure to the general public."
"Venom","Action, Sci-Fi, Adventure","Easy Mode","A major comic book franchise film with high global visibility."
"The Village","Thriller, Mystery, Drama","Easy Mode","A high-profile M. Night Shyamalan film that received significant media attention upon release."
"House of Gucci","Biography, Crime, Drama","Easy Mode","High-profile mainstream drama featuring A-list actors and wide theatrical release."
"I'm Thinking of Ending Things","Drama, Psychological Thriller, Surrealism","Hard Mode","A psychological thriller with a niche audience and surreal narrative style."
"The Tomorrow War","Action, Adventure, Sci-Fi","Easy Mode","A big-budget science fiction blockbuster with significant global streaming reach."
"Gummo","Drama, Experimental","Impossible Mode","A controversial and highly avant-garde experimental film known primarily to cinephiles."
"Resident Evil","Action, Horror, Sci-Fi","Easy Mode","A massively popular global action horror franchise based on a best-selling game series."
"Bird Box","Sci-Fi, Horror, Drama","Easy Mode","A viral global hit on Netflix that permeated mainstream pop culture."
"The Hunger Games: Mockingjay - Part 1","Action, Adventure, Sci-Fi, Thriller","Easy Mode","A major entry in one of the most recognizable young adult film franchises in history."
"Glass","Thriller, Sci-Fi, Drama","Easy Mode","The conclusion to a high-profile superhero thriller trilogy directed by M. Night Shyamalan."
"Monster House","Animation, Adventure, Comedy, Family, Fantasy, Horror","Hard Mode","A moderately successful animated film that maintains a nostalgic, smaller cult following."
"This Is the End","Comedy, Fantasy","Easy Mode","A widely recognized mainstream comedy featuring an ensemble of famous Hollywood stars."
"Narvik: Hitler's First Defeat","War, Drama, History","Impossible Mode","A niche foreign-language historical drama that did not achieve widespread mainstream global fame."
"Enola Holmes","Mystery, Adventure, Crime, Drama","Easy Mode","A highly popular Netflix original movie featuring a well-known star."
"The Fate of the Furious","Action, Crime, Thriller","Easy Mode","Part of a massive, globally recognized blockbuster action franchise."
"Ender's Game","Sci-Fi, Action, Adventure","Easy Mode","Based on a famous novel with a major studio release and high-profile cast."
"The Incredible Hulk","Action, Sci-Fi, Adventure","Easy Mode","A significant entry in the globally dominant Marvel Cinematic Universe."
"Happy Death Day","Horror, Mystery, Thriller, Comedy","Hard Mode","A successful cult horror-comedy, but lacks the household name status of major blockbusters."
"The Green Knight","Adventure, Drama, Fantasy","Hard Mode","A critically acclaimed A24 film that leans into arthouse sensibilities, limiting its mainstream reach."
"Weird Science","Comedy, Sci-Fi","Easy Mode","An iconic 80s cult classic that remains widely recognizable in pop culture."
"30 Days of Night","Horror, Action, Thriller","Hard Mode","A well-regarded horror comic adaptation with a distinct but specific fan base."
"Elysium","Action, Sci-Fi, Thriller","Easy Mode","A high-budget sci-fi film from a prominent director with a globally recognizable lead actor."
"A Nightmare on Elm Street 3: Dream Warriors","Horror, Fantasy, Thriller","Easy Mode","Part of a globally recognized horror franchise."
"The Amazing Spider-Man 2","Action, Adventure, Sci-Fi","Easy Mode","A high-budget superhero blockbuster with massive global marketing."
"X-Men: The Last Stand","Action, Sci-Fi, Superhero","Easy Mode","Part of the extremely popular X-Men film series."
"Drag Me to Hell","Horror, Thriller, Fantasy","Easy Mode","Directed by Sam Raimi and widely known in the horror community."
"The Da Vinci Code","Mystery, Thriller","Easy Mode","Based on a massive best-selling novel and features A-list stars."
"You're Next","Horror, Thriller, Slasher","Hard Mode","A well-regarded indie horror film known primarily by genre fans."
"Smokin' Aces","Action, Comedy, Crime","Hard Mode","A cult action film that maintains a modest but dedicated following."
"The Invitation","Thriller, Mystery, Drama","Hard Mode","An acclaimed thriller, but remains within the niche independent film sphere."
"Annie","Musical, Family, Drama","Easy Mode","A culturally iconic musical adapted into multiple famous film versions."
"The Blob","Sci-Fi, Horror","Hard Mode","Classic status, but primarily recognized by fans of 50s/80s creature features."
"The Bourne Legacy","Action, Adventure, Thriller","Easy Mode","Part of a major globally recognized spy franchise."
"Burnt","Drama","Hard Mode","Moderate box office performance with limited cultural footprint."
"Causeway","Drama","Impossible Mode","A small-scale indie drama released primarily on a streaming platform."
"Revenge of the Nerds","Comedy","Easy Mode","An iconic 80s cult comedy that is widely known in pop culture."
"Ghostbusters II","Action, Comedy, Fantasy, Sci-Fi","Easy Mode","Sequel to a massive global blockbuster franchise."
"The Beach","Adventure, Drama, Thriller","Easy Mode","Starring Leonardo DiCaprio during his prime, maintaining high recognition."
"Nymphomaniac: Vol. II","Drama","Hard Mode","An arthouse niche film directed by Lars von Trier with polarizing subject matter."
"The Lovely Bones","Fantasy, Drama, Thriller","Easy Mode","A well-known book-to-film adaptation by Peter Jackson."
"John Carter","Action, Adventure, Sci-Fi","Hard Mode","Known primarily for being a high-budget box office bomb."
"Prince of Persia: The Sands of Time","Action, Adventure, Fantasy","Easy Mode","A big-budget Disney adaptation of a globally famous video game franchise."
"Mamma Mia! Here We Go Again","Musical, Comedy, Romance","Easy Mode","A highly successful sequel to a globally recognized musical blockbuster."
"Me, Myself & Irene","Comedy, Dark Comedy","Easy Mode","A well-known Jim Carrey comedy that received significant airplay."
"Project X","Comedy","Easy Mode","A viral cult hit among younger demographics and widespread pop culture awareness."
"Jungle Cruise","Action, Adventure, Comedy, Fantasy","Easy Mode","A major Disney blockbuster featuring high-profile stars like Dwayne Johnson."
"Empire of Light","Drama, Romance","Hard Mode","A prestige drama that appealed primarily to film festival audiences and cinephiles."
"Hush","Horror, Thriller","Hard Mode","A popular Netflix horror thriller known among fans of the genre but not general audiences."
"Hunter Killer","Action, Thriller","Hard Mode","A mid-budget action thriller that found a specific niche audience."
"Disobedience","Drama, Romance","Impossible Mode","An independent drama with a very limited theatrical release and minimal mainstream footprint."
"Focus","Crime, Comedy, Drama, Romance","Easy Mode","A high-profile studio film starring Will Smith and Margot Robbie."
"Safe Haven","Romance, Thriller, Drama","Easy Mode","Based on a Nicholas Sparks novel, maintaining high recognition among fans of romantic dramas."
"Anna Karenina","Drama, Romance","Easy Mode","Based on a world-famous novel with multiple high-profile adaptations."
"Mommie Dearest","Biography, Drama","Hard Mode","A cult classic film with a specific niche following, less known to general modern audiences."
"The Lost City of Z","Biography, Drama, History, Adventure","Hard Mode","A biographical drama that, while critically acclaimed, did not reach mainstream blockbuster status."
"The Lego Movie 2: The Second Part","Animation, Action, Adventure, Comedy, Family, Musical, Sci-Fi","Easy Mode","Part of a major globally recognized animated franchise."
"The Harder They Fall","Western, Action, Drama","Hard Mode","A well-known Netflix original, but falls into a more niche genre and distribution model."
"Quantum of Solace","Action, Adventure, Thriller","Easy Mode","Part of the globally iconic James Bond film series."
"Devotion","Action, Drama, History, War","Hard Mode","A recent historical war drama that has limited general public awareness."
"Hitch","Romance, Comedy","Easy Mode","A widely broadcast and popular romantic comedy starring Will Smith."
"Psycho II","Horror, Mystery, Thriller","Hard Mode","A sequel to an iconic film that remains significantly less recognized than the original."
"Dragon Ball Z: Resurrection """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""F""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""","Animation, Action, Adventure, Fantasy, Science Fiction","Hard Mode","Default classification used (no precise match)."
"John Q","Drama, Thriller, Crime","Easy Mode","A well-known Denzel Washington drama that received significant mainstream media coverage."
"Jiang hu er nü","Crime, Drama, Romance","Hard Mode","Also known as Ash Is Purest White, this is a critically acclaimed art-house film but lacks mainstream global recognition."
"Jerry and Marge Go Large","Comedy, Drama, Biography","Hard Mode","A relatively recent streaming release with moderate recognition among comedy fans."
"Silver Streak","Action, Comedy, Mystery, Crime","Easy Mode","A classic comedy featuring the iconic duo of Gene Wilder and Richard Pryor."
"Bright Star","Biography, Drama, Romance","Hard Mode","A well-regarded biographical period piece, but remains niche in its appeal."
"Matador","Thriller, Drama, Dark Comedy","Hard Mode","Pedro Almodóvar's early work is highly respected by cinephiles but is not widely known to the general public."
"Last Flag Flying","Drama, Comedy","Hard Mode","A high-profile cast but a relatively quiet release that didn't reach widespread popular success."
"The Crimson Rivers","Crime, Thriller, Mystery","Easy Mode","A very successful French thriller that gained international distribution and a strong cult following."
"New Police Story","Action, Crime, Drama","Easy Mode","A major Jackie Chan action film that is widely recognized in global markets."
"Courageous","Drama, Faith-based","Hard Mode","Highly successful within its specific niche of faith-based cinema but lacks general mainstream awareness."
"Affliction","Drama, Mystery, Crime","Hard Mode","A critically acclaimed independent drama that lacks broad mainstream global recognition."
"Bell Book and Candle","Romance, Comedy, Fantasy","Hard Mode","A classic romantic comedy that is well-known to film historians but not widely watched by general modern audiences."
"A Cock and Bull Story","Comedy, Drama","Impossible Mode","A highly meta, niche British comedy that remains largely unknown to the general public."
"Avengement","Action, Crime, Thriller","Hard Mode","A cult favorite within the action genre but lacks general mainstream awareness."
"Outbreak","Action, Drama, Thriller","Easy Mode","A major Hollywood disaster film with significant historical global box office performance."
"Machete","Action, Crime, Thriller","Easy Mode","A widely recognized exploitation-style action film directed by Robert Rodriguez."
"Stillwater","Crime, Drama, Thriller","Hard Mode","A mid-budget drama that, while starring Matt Damon, did not achieve massive mainstream cultural saturation."
"Operation Mincemeat","War, Drama, History","Hard Mode","A recent historical drama that appealed primarily to a specific demographic of period-piece fans."
"Spencer","Biography, Drama","Hard Mode","An arthouse biographical drama known to cinephiles but not a widespread mass-market success."
"Austin Powers: The Spy Who Shagged Me","Comedy, Action, Adventure","Easy Mode","An iconic blockbuster comedy sequel that is a major piece of pop culture history."
"Operation Finale","Biography, Drama, History, Thriller","Hard Mode","A mid-budget historical drama that did not achieve massive mainstream cultural saturation."
"Overlord","Action, Horror, Sci-Fi","Hard Mode","A well-regarded genre film but primarily known to horror and action enthusiasts."
"Tears of the Sun","Action, Drama, Thriller, War","Easy Mode","Features a major star (Bruce Willis) and received significant broadcast airplay."
"Forever My Girl","Romance, Drama, Music","Hard Mode","A niche romantic drama with a specific target audience that is not widely known to the general public."
"Whitney Houston: I Wanna Dance with Somebody","Biography, Drama, Music","Easy Mode","A major biopic about a world-renowned musical icon."
"The Polar Express","Animation, Adventure, Family","Easy Mode","A massive commercial success and a staple of modern holiday television."
"Maleficent: Mistress of Evil","Fantasy, Adventure, Family","Easy Mode","A high-budget Disney franchise sequel with massive global distribution."
"In the Realm of the Senses","Drama, Romance, History","Impossible Mode","An avant-garde international art-house film known primarily by cinema scholars."
"Joy Ride","Comedy","Hard Mode","Recent comedy that received moderate attention but lacks global household-name recognition."
"RED 2","Action, Comedy, Crime","Easy Mode","An action-comedy sequel featuring an A-list ensemble cast."
"Cherry","Crime, Drama","Hard Mode","While directed by the Russo brothers, it remains a mid-tier streaming release compared to their blockbuster work."
"Kiss the Girls","Crime, Drama, Mystery, Thriller","Easy Mode","A well-known 90s thriller featuring major stars like Morgan Freeman."
"Nanny McPhee","Fantasy, Comedy, Family","Easy Mode","A very popular family film with high global recognition."
"The 13th Warrior","Action, Adventure, History","Hard Mode","Known as a cult film but was a notorious box office bomb upon release."
"The Heat","Action, Comedy, Crime","Easy Mode","A widely recognized mainstream buddy-cop comedy."
"Inherent Vice","Crime, Comedy, Mystery","Hard Mode","An acclaimed but niche arthouse film by Paul Thomas Anderson."
"Joy","Biography, Comedy, Drama","Easy Mode","A high-profile biopic featuring Jennifer Lawrence that received widespread press."
"The Final Countdown","Science Fiction, Action, War","Impossible Mode","A relatively obscure 1980 science fiction film."
"AKA","Action, Crime, Thriller","Impossible Mode","Too generic a title, making it difficult to distinguish from numerous other films."
"The Night Porter","Drama, Psychological Thriller, History","Impossible Mode","A controversial and niche European art film from the 1970s."
"The Pelican Brief","Crime, Drama, Mystery, Thriller","Easy Mode","A high-profile legal thriller featuring major stars Julia Roberts and Denzel Washington."
"Borat Subsequent Moviefilm","Mockumentary, Satire, Comedy","Easy Mode","A highly publicized global streaming release and a cultural phenomenon."
"What Lies Beneath","Psychological Thriller, Horror, Mystery","Easy Mode","A successful Hollywood supernatural thriller featuring Harrison Ford and Michelle Pfeiffer."
"The Chronicles of Riddick","Science Fiction, Action, Adventure","Easy Mode","Part of a well-known science fiction franchise starring Vin Diesel."
"8MM","Crime, Mystery, Thriller","Hard Mode","A gritty thriller that, while featuring Nicolas Cage, is not among his most widely recognized mainstream hits."
"Shattered","Thriller, Action","Impossible Mode","This is a generic title shared by multiple low-profile independent or television films, leading to very low brand recognition."
"Short Circuit","Sci-Fi, Comedy, Family","Easy Mode","A classic 1980s family science fiction film that is well-known in pop culture."
"The Loved Ones","Horror, Thriller","Hard Mode","A cult classic horror film from Australia known primarily by genre enthusiasts."
"Edge of Darkness","Action, Crime, Drama, Thriller","Hard Mode","A mid-range thriller starring Mel Gibson that had moderate theatrical visibility but faded from public discourse."
"Run All Night","Action, Crime, Thriller","Hard Mode","A standard Liam Neeson action vehicle that was widely distributed but lacked long-term cultural impact."
"Licence to Kill","Action, Adventure, Thriller","Easy Mode","Part of the iconic James Bond franchise."
"The Rundown","Action, Adventure, Comedy","Easy Mode","Features Dwayne Johnson and had a wide theatrical release."
"Crocodile Dundee","Comedy, Adventure","Easy Mode","A massive global box office success in the 1980s."
"New Jack City","Crime, Drama, Action","Easy Mode","A well-known cult classic crime film."
"The Hunger","Horror, Drama, Thriller","Hard Mode","A niche gothic horror film with a cult following."
"Heavyweights","Comedy, Family, Sport","Hard Mode","A cult comedy that gained popularity on home video."
"Hotel Transylvania 2","Animation, Comedy, Family, Fantasy","Easy Mode","A widely released major studio animated sequel."
"The Informer","Drama, Crime, Film Noir","Impossible Mode","A very obscure title with several unrelated films sharing the name."
"Phantasm","Horror, Science Fiction, Fantasy","Hard Mode","A classic horror film well-known to genre fans but not mainstream audiences."
"Back to School","Comedy, Romance","Easy Mode","A highly successful comedy starring Rodney Dangerfield."
"The Girl with All the Gifts","Horror, Sci-Fi, Drama","Hard Mode","A well-regarded but relatively niche British zombie film."
"Flushed Away","Animation, Adventure, Comedy, Family","Easy Mode","A widely distributed Aardman and DreamWorks animated feature."
"Bad Boys II","Action, Comedy, Crime","Easy Mode","A globally famous blockbuster action franchise installment."
"The Rules of Attraction","Drama, Comedy, Satire","Hard Mode","A cult classic adaptation that remains a niche interest."
"Powder","Drama, Fantasy, Science Fiction","Hard Mode","A mid-90s drama that is fairly well-remembered but lacks broad mainstream recognition."
"Puss in Boots","Animation, Adventure, Comedy, Family, Fantasy","Easy Mode","A globally recognized character from the Shrek franchise."
"Spirited","Musical, Comedy, Fantasy","Hard Mode","A recent musical comedy that gained moderate popularity but isn't a cultural staple."
"Bawaal","Romance, Drama","Hard Mode","A popular Indian film that is well-known in its home market but niche globally."
"Heavy Metal","Animation, Sci-Fi, Fantasy, Adventure","Impossible Mode","A 1981 cult animated anthology film known primarily to specific subcultures."
"Fear Street: Part Three - 1666","Horror, Mystery, Slasher","Hard Mode","Part of a recent Netflix trilogy with a dedicated but specific streaming audience."
"Adrift","Action, Adventure, Biography, Drama, Romance","Easy Mode","A well-known survival drama featuring popular actors like Shailene Woodley."
"May","Psychological Horror, Drama, Independent Film","Hard Mode","A cult classic psychological horror film that is well-known within horror fandoms but lacks mainstream recognition."
"Lords of Chaos","Biography, Drama, Horror","Hard Mode","An independent biographical film centered on a specific subculture, known primarily to metal music fans."
"Eagle Eye","Action, Sci-Fi, Thriller","Easy Mode","A high-budget Hollywood action-thriller that received widespread commercial release."
"Rollerball","Science Fiction, Action, Sports","Easy Mode","The 1975 version is a significant science fiction classic that remains culturally recognizable."
"Summer School","Comedy, Romance","Easy Mode","A very popular late 80s teen comedy that was a staple of cable television."
"Going in Style","Comedy, Crime","Easy Mode","A mainstream heist comedy featuring A-list actors like Morgan Freeman and Michael Caine."
"From Beyond","Horror, Sci-Fi","Impossible Mode","A niche body-horror film based on H.P. Lovecraft, appreciated only by specific genre aficionados."
"Last Vegas","Comedy, Drama","Easy Mode","A mainstream comedy that received a wide theatrical release with a star-studded cast."
"Toy Soldiers","Action, Thriller, Drama","Hard Mode","A recognizable 90s action film that maintains a nostalgic following but has faded from mainstream consciousness."
"Alpha","Adventure, Drama","Hard Mode","Moderate box office performance but not a household name."
"Malcolm & Marie","Drama, Romance","Easy Mode","High-profile Netflix release starring major celebrities."
"Half Baked","Comedy, Crime","Easy Mode","Widely known cult classic comedy."
"Black Rain","Action, Crime, Thriller","Hard Mode","Well-known among Ridley Scott fans but lacks mainstream longevity."
"Roxanne","Romance, Comedy","Easy Mode","Popular 80s Steve Martin comedy."
"The Miseducation of Cameron Post","Drama, Teen, Independent","Hard Mode","Recognized in indie film circles but not mainstream."
"Max","Drama, History","Impossible Mode","Very niche family-oriented release with low cultural footprint."
"The Eyes of Tammy Faye","Biography, Drama, History","Easy Mode","Recent Academy Award-winning film with significant press."
"A Perfect Murder","Crime, Thriller, Drama","Easy Mode","Star-studded 90s thriller that saw wide theatrical release."
"Far and Away","Adventure, Drama, Romance, Western","Easy Mode","Widely recognized 90s epic starring Tom Cruise and Nicole Kidman."
"Midnight in the Garden of Good and Evil","Crime, Drama, Mystery","Hard Mode","Well-known in literary circles but lacks widespread mainstream cinematic recognition."
"French Kiss","Comedy, Romance","Easy Mode","A highly popular 90s romantic comedy with major star power."
"Reality Bites","Comedy, Drama, Romance","Easy Mode","An iconic cult classic defining 90s Gen X culture."
"Australia","Adventure, Drama, History, Romance, War","Easy Mode","A high-budget production featuring major A-list stars."
"Madagascar: Escape 2 Africa","Animation, Adventure, Comedy, Family","Easy Mode","A globally recognized blockbuster family animated film."
"Titan A.E.","Animation, Science Fiction, Adventure","Hard Mode","A cult classic animated film that performed poorly at the box office."
"The Mosquito Coast","Adventure, Drama, Thriller","Hard Mode","A respectable drama but remains overshadowed by other Harrison Ford roles."
"Hot Shots! Part Deux","Comedy, Action","Easy Mode","A very famous parody sequel from the peak of Leslie Nielsen/Charlie Sheen comedy era."
"Demons","Horror, Supernatural","Hard Mode","A well-regarded Italian horror film but limited to genre enthusiasts."
"Bloody Daddy","Action, Crime, Thriller","Impossible Mode","An obscure regional title with very limited international footprint."
"The Great Outdoors","Comedy","Easy Mode","A well-known 80s comedy starring John Candy and Dan Aykroyd with frequent television airings."
"Copycat","Crime, Thriller, Mystery, Drama","Easy Mode","A high-profile 90s psychological thriller featuring A-list stars like Sigourney Weaver and Holly Hunter."
"Mr. Mom","Comedy, Drama","Easy Mode","A classic 80s comedy that remains a cultural touchstone for Michael Keaton's early career."
